"","title","author","subject","abstract","date"
"79","Incremental Topological Ordering and Cycle Detection with Predictions","Samuel McCauley, Benjamin Moseley, Aidin Niaparast, Shikha Singh","Data Structures and Algorithms (cs.DS)","This paper leverages the framework of algorithmswithpredictions to design data structures for two fundamental dynamic graph problems incremental topological ordering and cycle detection. In these problems, the input is a directed graph on n nodes, and the m edges arrive one by one. The data structure must maintain a topological ordering of the vertices at all times and detect if the newly inserted edge creates a cycle. The theoretically best worstcase algorithms for these problems have high update cost polynomial in n and m. In practice, greedy heuristics that recompute the solution from scratch each time perform well but can have high update cost in the worst case. In this paper, we bridge this gap by leveraging predictions to design a learned new data structure for the problems. Our data structure guarantees consistency, robustness, and smoothness with respect to predictions  that is, it has the best possible running time under perfect predictions, never performs worse than the bestknown worstcase methods, and its running time degrades smoothly with the prediction error. Moreover, we demonstrate empirically that predictions, learned from a very small training dataset, are sufficient to provide significant speedups on real datasets.","Fri, 16 Feb 2024 19:18:51 UTC (2,613 KB)"
"80","Hypergraph Connectivity Augmentation in Strongly Polynomial Time","Kristóf Bérczi, Karthekeyan Chandrasekaran, Tamás Király, Shubhang Kulkarni","Data Structures and Algorithms (cs.DS)","We consider hypergraph network design problems where the goal is to construct a hypergraph that satisfies certain connectivity requirements. For graph network design problems where the goal is to construct a graph that satisfies certain connectivity requirements, the number of edges in every feasible solution is at most quadratic in the number of vertices. In contrast, for hypergraph network design problems, we might have feasible solutions in which the number of hyperedges is exponential in the number of vertices. This presents an additional technical challenge in hypergraph network design problems compared to graph network design problems in order to solve the problem in polynomial time, we first need to show that there exists a feasible solution in which the number of hyperedges is polynomial in the input size. The central theme of this work is to show that certain hypergraph network design problems admit solutions in which the number of hyperedges is polynomial in the number of vertices and moreover, can be solved in strongly polynomial time. Our work improves on the previous fastest pseudopolynomial runtime for these problems. In addition, we develop strongly polynomial time algorithms that return nearuniform hypergraphs as solutions i.e., every pair of hyperedges differ in size by at most one. As applications of our results, we derive the first strongly polynomial time algorithms for i degreespecified hypergraph connectivity augmentation using hyperedges, ii degreespecified hypergraph nodetoarea connectivity augmentation using hyperedges, and iii degreeconstrained mixedhypergraph connectivity augmentation using hyperedges.","Fri, 16 Feb 2024 17:58:58 UTC (219 KB)"
"81","Core Stability in Additively Separable Hedonic Games of Low Treewidth","Tesshu Hanaka, Noleen Köhler, Michael Lampis","Data Structures and Algorithms (cs.DS)","Additively Separable Hedonic Game ASHG are coalitionformation games where we are given a graph whose vertices represent n selfish agents and the weight of each edge uv denotes how much agent u gains or loses when she is placed in the same coalition as agent v. We revisit the computational complexity of the wellknown notion of core stability of ASHGs, where the goal is to construct a partition of the agents into coalitions such that no group of agents would prefer to diverge from the given partition and form a new blocking coalition. Since both finding a core stable partition and verifying that a given partition is core stable are intractable problems Sigma2pcomplete and coNPcomplete respectively we study their complexity from the point of view of structural parameterized complexity, using standard graphtheoretic parameters, such as treewidth.","Fri, 16 Feb 2024 16:39:14 UTC (693 KB)"
"82","Streaming Algorithms for Connectivity Augmentation","Ce Jin, Michael Kapralov, Sepideh Mahabadi, Ali Vakilian","Data Structures and Algorithms (cs.DS)","We study the kconnectivity augmentation problem kCAP in the singlepass streaming model. Given a k1edge connected graph GV,E that is stored in memory, and a stream of weighted edges L with weights in 0,1,dots,W, the goal is to choose a minimum weight subset Lsubseteq L such that GV,Ecup L is kedge connected. We give a 2epsilonapproximation algorithm for this problem which requires to store Oepsilon1 nlog n words. Moreover, we show our result is tight Any algorithm with better than 2approximation for the problem requires Omegan2 bits of space even when k2. This establishes a gap between the optimal approximation factor one can obtain in the streaming vs the offline setting for kCAP. We further consider a natural generalization to the fully streaming model where both E and L arrive in the stream in an arbitrary order. We show that this problem has a space lower bound that matches the best possible size of a spanner of the same approximation ratio. Following this, we give improved results for spanners on weighted graphs We show a streaming algorithm that finds a 2t1epsilonapproximate weighted spanner of size at most Oepsilon1 n11tlog n for integer t, whereas the best prior streaming algorithm for spanner on weighted graphs had size depending on log W. Using our spanner result, we provide an optimal Otapproximation for kCAP in the fully streaming model with Onk  n11t words of space. Finally we apply our results to network design problems such as Steiner tree augmentation problem STAP, kedge connected spanning subgraph kECSS, and the general Survivable Network Design problem SNDP. In particular, we show a singlepass Otlog kapproximation for SNDP using Okn11t words of space, where k is the maximum connectivity requirement.","Fri, 16 Feb 2024 16:34:08 UTC (236 KB)"
"83","On Permutation Selectors and their Applications in Ad-Hoc Radio Networks Protocols","Jordan Kuschner, Yugarshi Shashwat, Sarthak Yadav, Marek Chrobak","Data Structures and Algorithms (cs.DS)","Selective families of sets, or selectors, are combinatorial tools used to isolate individual members of sets from some set family. Given a set X and an element xin X, to isolate x from X, at least one of the sets in the selector must intersect X on exactly x. We study k,Npermutation selectors which have the property that they can isolate each element of each kelement subset of 0,1,...,N1 in each possible order. These selectors can be used in protocols for adhoc radio networks to more efficiently disseminate information along multiple hops. In 2004, Gasieniec, Radzik and Xin gave a construction of a k,Npermutation selector of size Ok2log3 N. This paper improves this by providing a probabilistic construction of a k,Npermutation selector of size Ok2log N. Remarkably, this matches the asymptotic bound for standard strong k,Nselectors, that isolate each element of each set of size k, but with no restriction on the order. We then show that the use of our k,Npermutation selector improves the best running time for gossiping in adhoc radio networks by a polylogarithmic factor.","Fri, 16 Feb 2024 16:05:47 UTC (141 KB)"
"84","Alphabet Reduction for Reconfiguration Problems","Naoto Ohsaka","Computational Complexity (cs.CC)","We present a reconfiguration analogue of alphabet reduction  la Dinur J. ACM, 2007 and its applications. Given a binary constraint graph G and its two satisfying assignments psimathsfini and psimathsftar, the Maxmin Binary CSP Reconfiguration problem requests to transform psimathsfini into psimathsftar by repeatedly changing the value of a single vertex so that the minimum fraction of satisfied edges is maximized. We demonstrate a polynomialtime reduction from Maxmin Binary CSP Reconfiguration with arbitrarily large alphabet size W in mathbbN to itself with universal alphabet size W0 in mathbbN such that 1. the perfect completeness is preserved, and 2. if any reconfiguration for the former violates varepsilonfraction of edges, then Omegavarepsilonfraction of edges must be unsatisfied during any reconfiguration for the latter. The crux of its construction is the reconfigurability of Hadamard codes, which enables to reconfigure between a pair of codewords, while avoiding getting too close to the other codewords. Combining this alphabet reduction with gap amplification due to Ohsaka SODA 2024, we are able to amplify the 1 vs. 1varepsilon gap for arbitrarily small varepsilon in 0,1 up to the 1 vs. 1varepsilon0 for some universal varepsilon0 in 0,1 without blowing up the alphabet size. In particular, a 1 vs. 1varepsilon0 gap version of Maxmin Binary CSP Reconfiguration with alphabet size W0 is PSPACEhard only assuming the Reconfiguration Inapproximability Hypothesis posed by Ohsaka STACS 2023, whose gap parameter can be arbitrarily small. This may not be achieved only by gap amplification of Ohsaka, which makes the alphabet size gigantic depending on the gap value of the hypothesis.","Fri, 16 Feb 2024 12:26:57 UTC (156 KB)"
"85","Learning-Augmented Skip Lists","Chunkai Fu, Jung Hoon Seo, Samson Zhou","Data Structures and Algorithms (cs.DS)","We study the integration of machine learning advice into the design of skip lists to improve upon traditional data structure design. Given access to a possibly erroneous oracle that outputs estimated fractional frequencies for search queries on a set of items, we construct a skip list that provably provides the optimal expected search time, within nearly a factor of two. In fact, our learningaugmented skip list is still optimal up to a constant factor, even if the oracle is only accurate within a constant factor. We show that if the search queries follow the ubiquitous Zipfian distribution, then the expected search time for an item by our skip list is only a constant, independent of the total number n of items, i.e., mathcalO1, whereas a traditional skip list will have an expected search time of mathcalOlog n. We also demonstrate robustness by showing that our data structure achieves an expected search time that is within a constant factor of an oblivious skip list construction even when the predictions are arbitrarily incorrect. Finally, we empirically show that our learningaugmented skip list outperforms traditional skip lists on both synthetic and realworld datasets.","Fri, 16 Feb 2024 05:27:13 UTC (3,927 KB)"
"86","Composition Orderings for Linear Functions and Matrix Multiplication Orderings","Susumu Kubo, Kazuhisa Makino, Souta Sakamoto","Data Structures and Algorithms (cs.DS)","We consider composition orderings for linear functions of one variable. Given n linear functions f1,dots,fn and a constant c, the objective is to find a permutation sigma that minimizesmaximizes fsigmancircdotscirc fsigma1c. It was first studied in the area of timedependent scheduling, and known to be solvable in Onlog n time if all functions are nondecreasing. In this paper, we present a complete characterization of optimal composition orderings for this case, by regarding linear functions as twodimensional vectors. We also show several interesting properties on optimal composition orderings such as the equivalence between local and global optimality. Furthermore, by using the characterization above, we provide a fixedparameter tractable FPT algorithm for the composition ordering problem for general linear functions, with respect to the number of decreasing linear functions. We next deal with matrix multiplication orderings as a generalization of composition of linear functions. Given n matrices M1,dots,MninmathbbRmtimes m and two vectors w,yinmathbbRm, where m denotes a positive integer, the objective is to find a permutation sigma that minimizesmaximizes wtop Msigmandots Msigma1 y. The problem is also viewed as a generalization of flow shop scheduling through a limit. By this extension, we show that the multiplication ordering problem for 2times 2 matrices is solvable in Onlog n time if all the matrices are simultaneously triangularizable and have nonnegative determinants, and FPT with respect to the number of matrices with negative determinants, if all the matrices are simultaneously triangularizable. As the negative side, we finally prove that three possible natural generalizations are NPhard 1 when m2, 2 when mgeq 3, and 3 the target version of the problem.","Fri, 16 Feb 2024 04:55:49 UTC (143 KB)"
"87","Collaborative Learning with Different Labeling Functions","Yuyang Deng, Mingda Qiao","Machine Learning (cs.LG)","We study a variant of Collaborative PAC Learning, in which we aim to learn an accurate classifier for each of the n data distributions, while minimizing the number of samples drawn from them in total. Unlike in the usual collaborative learning setup, it is not assumed that there exists a single classifier that is simultaneously accurate for all distributions. We show that, when the data distributions satisfy a weaker realizability assumption, sampleefficient learning is still feasible. We give a learning algorithm based on Empirical Risk Minimization ERM on a natural augmentation of the hypothesis class, and the analysis relies on an upper bound on the VC dimension of this augmented class. In terms of the computational efficiency, we show that ERM on the augmented hypothesis class is NPhard, which gives evidence against the existence of computationally efficient learners in general. On the positive side, for two special cases, we give learners that are both sample and computationallyefficient.","Fri, 16 Feb 2024 04:32:22 UTC (38 KB)[v2] Tue, 20 Feb 2024 05:14:09 UTC (34 KB)"
"88","Learnability is a Compact Property","Julian Asilis, Siddartha Devic, Shaddin Dughmi, Vatsal Sharan, Shang-Hua Teng","Machine Learning (cs.LG)","Recent work on learning has yielded a striking result the learnability of various problems can be undecidable, or independent of the standard ZFC axioms of set theory. Furthermore, the learnability of such problems can fail to be a property of finite character informally, it cannot be detected by examining finite projections of the problem. On the other hand, learning theory abounds with notions of dimension that characterize learning and consider only finite restrictions of the problem, i.e., are properties of finite character. How can these results be reconciled? More precisely, which classes of learning problems are vulnerable to logical undecidability, and which are within the grasp of finite characterizations? We demonstrate that the difficulty of supervised learning with metric losses admits a tight finite characterization. In particular, we prove that the sample complexity of learning a hypothesis class can be detected by examining its finite projections. For realizable and agnostic learning with respect to a wide class of proper loss functions, we demonstrate an exact compactness result a class is learnable with a given sample complexity precisely when the same is true of all its finite projections. For realizable learning with improper loss functions, we show that exact compactness of sample complexity can fail, and provide matching upper and lower bounds of a factor of 2 on the extent to which such sample complexities can differ. We conjecture that larger gaps are possible for the agnostic case. At the heart of our technical work is a compactness result concerning assignments of variables that maintain a class of functions below a target value, which generalizes Halls classic matching theorem and may be of independent interest.","Thu, 15 Feb 2024 23:10:45 UTC (53 KB)"
"89","Non-adaptive Bellman-Ford: Yen's improvement is optimal","Jialu Hu, László Kozma","Data Structures and Algorithms (cs.DS)","The BellmanFord algorithm for singlesource shortest paths repeatedly updates tentative distances in an operation called relaxing an edge. In several important applications a nonadaptive oblivious implementation is preferred, which means fixing the entire sequence of relaxations upfront, independent of the edgeweights. In a dense graph on n vertices, the algorithm in its standard form performs 1  o1n3 relaxations. An improvement by Yen from 1970 reduces the number of relaxations by a factor of two. We show that no further constantfactor improvements are possible, and every nonadaptive deterministic algorithm based on relaxations must perform frac12  o1n3 steps. This improves an earlier lower bound of Eppstein of frac16  o1n3. Given that a nonadaptive randomized variant of BellmanFord with at most frac13  o1n3 relaxations with high probability is known, our result implies a strict separation between deterministic and randomized strategies, answering an open question of Eppstein.","Thu, 15 Feb 2024 22:13:47 UTC (7 KB)"
"90","Correlation Clustering with Vertex Splitting","Matthias Bentert, Alex Crane, Pål Grønås Drange, Felix Reidl, Blair D. Sullivan","Data Structures and Algorithms (cs.DS)","We explore Cluster Editing and its generalization Correlation Clustering with a new operation called permissive vertex splitting which addresses finding overlapping clusters in the face of uncertain information. We determine that both problems are NPhard, yet they exhibit significant differences in parameterized complexity and approximability. For Cluster Editing with Permissive Vertex Splitting, we show a polynomial kernel when parameterized by the solution size and develop a polynomialtime algorithm with approximation factor 7. In the case of Correlation Clustering, we establish paraNPhardness when parameterized by solution size and demonstrate that computing an n1epsilonapproximation is NPhard for any constant epsilon  0. Additionally, we extend the established link between Correlation Clustering and Multicut to the setting with permissive vertex splitting.","Thu, 15 Feb 2024 21:45:10 UTC (24 KB)"
"91","Streaming algorithm for balance gain and cost with cardinality constraint on the integer lattice","Jingjing Tan","Data Structures and Algorithms (cs.DS)","Team formation problem is a very important problem in the labor market, and it is proved to be NPhard. In this paper, we design an efficient bicriteria streaming algorithms to construct a balance between gain and cost in a team formation problem with cardinality constraint on the integer lattice. To solve this problem, we establish a model for maximizing the difference between a nonnegative normalized monotone submodule function and a nonnegative linear function. Further, we discuss the case where the first function of the object function is alphaweakly submodular. Combining the lattice binary search with the threshold method, we present an online algorithm called bicriteria streaming algorithms. Meanwhile, we give detailed analysis for both of these models.","Thu, 15 Feb 2024 19:57:32 UTC (15 KB)"
"92","Simple, unified analysis of Johnson-Lindenstrauss with applications","Yingru Li","Machine Learning (stat.ML)","In this work, we present a simple and unified analysis of the JohnsonLindenstrauss JL lemma, a cornerstone in the field of dimensionality reduction critical for managing highdimensional data. Our approach not only simplifies the understanding but also unifies various constructions under the JL framework, including spherical, binarycoin, sparse JL, Gaussian and subGaussian models. This simplification and unification make significant strides in preserving the intrinsic geometry of data, essential across diverse applications from streaming algorithms to reinforcement learning. Notably, we deliver the first rigorous proof of the spherical constructions effectiveness and provide a general class of subGaussian constructions within this simplified framework. At the heart of our contribution is an innovative extension of the HansonWright inequality to high dimensions, complete with explicit constants, marking a substantial leap in the literature. By employing simple yet powerful probabilistic tools and analytical techniques, such as an enhanced diagonalization process, our analysis not only solidifies the JL lemmas theoretical foundation but also extends its practical reach, showcasing its adaptability and importance in contemporary computational algorithms.","Sat, 10 Feb 2024 15:37:46 UTC (30 KB)[v2] Wed, 21 Feb 2024 15:30:52 UTC (37 KB)"
"93","Trainability Barriers in Low-Depth QAOA Landscapes","Joel Rajakumar, John Golden, Andreas Bärtschi, Stephan Eidenbenz","Quantum Physics (quant-ph)","The Quantum Alternating Operator Ansatz QAOA is a prominent variational quantum algorithm for solving combinatorial optimization problems. Its effectiveness depends on identifying input parameters that yield highquality solutions. However, understanding the complexity of training QAOA remains an underexplored area. Previous results have given analytical performance guarantees for a small, fixed number of parameters. At the opposite end of the spectrum, barren plateaus are likely to emerge at Omegan parameters for n qubits. In this work, we study the difficulty of training in the intermediate regime, which is the focus of most current numerical studies and nearterm hardware implementations. Through extensive numerical analysis of the quality and quantity of local minima, we argue that QAOA landscapes can exhibit a superpolynomial growth in the number of lowquality local minima even when the number of parameters scales logarithmically with n. This means that the common technique of gradient descent from randomly initialized parameters is doomed to fail beyond small n, and emphasizes the need for good initial guesses of the optimal parameters.","Thu, 15 Feb 2024 18:45:30 UTC (977 KB)"
"94","Quantum Backtracking in Qrisp Applied to Sudoku Problems","Raphael Seidel, René Zander, Matic Petrič, Niklas Steinmann, David Q. Liu, Nikolay Tcholtchev, Manfred Hauswirth","Quantum Physics (quant-ph)","The quantum backtracking algorithm proposed by Ashley Montanaro raised considerable interest, as it provides a quantum speedup for a large class of classical optimization algorithms. It does not suffer from BarrenPlateaus and transfers well into the faulttolerant era, as it requires only a limited number of arbitrary angle gates. Despite its potential, the algorithm has seen limited implementation efforts, presumably due to its abstract formulation. In this work, we provide a detailed instruction on implementing the quantum step operator for arbitrary backtracking instances. For a single controlled diffuser of a binary backtracking tree with depth n, our implementation requires only 6n14 CX gates. We detail the process of constructing accept and reject oracles for Sudoku problems using our interface to quantum backtracking. The presented code is written using Qrisp, a highlevel quantum programming language, making it executable on most current physical backends and simulators. Subsequently, we perform several simulator based experiments and demonstrate solving 4x4 Sudoku instances with up to 9 empty fields. This is, to the best of our knowledge, the first instance of a compilable implementation of this generality, marking a significant and exciting step forward in quantum software engineering.","Thu, 15 Feb 2024 16:29:44 UTC (343 KB)"
"95","A Piecewise Approach for the Analysis of Exact Algorithms","Katie Clinch, Serge Gaspers, Abdallah Saffidine, Tiankuang Zhang","Data Structures and Algorithms (cs.DS)","To analyze the worstcase running time of branching algorithms, the majority of work in exponential time algorithms focuses on designing complicated branching rules over developing better analysis methods for simple algorithms. In the mid2000s, Fomin et al. 2005 introduced measure  conquer, an advanced general analysis method, sparking widespread adoption for obtaining tighter worstcase running time upper bounds for many fundamental NPcomplete problems. Yet, much potential in this direction remains untapped, as most subsequent work applied it without further advancement. Motivated by this, we present piecewise analysis, a new general method that analyzes the running time of branching algorithms. Our approach is to define a similarity ratio that divides instances into groups and then analyze the running time within each group separately. The similarity ratio is a scale between two parameters of an instance I. Instead of relying on a single measure and a single analysis for the whole instance space, our method allows to take advantage of different intrinsic properties of instances with different similarity ratios. To showcase its potential, we reanalyze two 17yearold algorithms from Fomin et al. 2007 that solve 4Coloring and 3Coloring respectively. The original analysis in their paper gave running times of O1.7272n and O1.6262n respectively for these algorithms, our analysis improves these running times to O1.7215n and O1.6232n. Among the two improvements, our new running time O1.7215n is the first improvement in the best known running time for the 4Coloring problem since 2007.","Thu, 15 Feb 2024 15:28:10 UTC (1,288 KB)"
"96","Parameterized Vertex Integrity Revisited","Tesshu Hanaka, Michael Lampis, Manolis Vasilakis, Kanae Yoshiwatari","Data Structures and Algorithms (cs.DS)","Vertex integrity is a graph parameter that measures the connectivity of a graph. Informally, its meaning is that a graph has small vertex integrity if it has a small separator whose removal disconnects the graph into connected components which are themselves also small. Graphs with low vertex integrity are extremely structured this renders many hard problems tractable and has recently attracted interest in this notion from the parameterized complexity community. In this paper we revisit the NPcomplete problem of computing the vertex integrity of a given graph from the point of view of structural parameterizations. We present a number of new results, which also answer some recently posed open questions from the literature. Specifically We show that unweighted vertex integrity is W1hard parameterized by treedepth we show that the problem remains W1hard if we parameterize by feedback edge set size via a reduction from a Bin Packing variant which may be of independent interest and complementing this we show that the problem is FPT by maxleaf number. Furthermore, for weighted vertex integrity, we show that the problem admits a singleexponential FPT algorithm parameterized by vertex cover or by modular width, the latter result improving upon a previous algorithm which required weights to be polynomially bounded.","Thu, 15 Feb 2024 14:28:01 UTC (204 KB)"
"97","Parameterized Algorithms for Steiner Forest in Bounded Width Graphs","Andreas Emil Feldmann, Michael Lampis","Data Structures and Algorithms (cs.DS)","In this paper we reassess the parameterized complexity and approximability of the wellstudied Steiner Forest problem in several graph classes of bounded width. The problem takes an edgeweighted graph and pairs of vertices as input, and the aim is to find a minimum cost subgraph in which each given vertex pair lies in the same connected component. It is known that this problem is APXhard in general, and NPhard on graphs of treewidth 3, treedepth 4, and feedback vertex set size 2. However, Bateni, Hajiaghayi and Marx JACM, 2011 gave an approximation scheme with a runtime of nOfrack2varepsilon on graphs of treewidth k. Our main result is a much faster efficient parameterized approximation scheme EPAS with a runtime of 2Ofrack2varepsilon log frack2varepsilon cdot nO1. If k instead is the vertex cover number of the input graph, we show how to compute the optimum solution in 2Ok log k cdot nO1 time, and we also prove that this runtime dependence on k is asymptotically best possible, under ETH. Furthermore, if k is the size of a feedback edge set, then we obtain a faster 2Ok cdot nO1 time algorithm, which again cannot be improved under ETH.","Thu, 15 Feb 2024 09:55:51 UTC (67 KB)"
"98","On the adversarial robustness of Locality-Sensitive Hashing in Hamming space","Michael Kapralov, Mikhail Makarov, Christian Sohler","Data Structures and Algorithms (cs.DS)","Localitysensitive hashingIndyk,Motwani98 is a classical data structure for approximate nearest neighbor search. It allows, after a close to linear time preprocessing of the input dataset, to find an approximately nearest neighbor of any fixed query in sublinear time in the dataset size. The resulting data structure is randomized and succeeds with high probability for every fixed query. In many modern applications of nearest neighbor search the queries are chosen adaptively. In this paper, we study the robustness of the localitysensitive hashing to adaptive queries in Hamming space. We present a simple adversary that can, under mild assumptions on the initial point set, provably find a query to the approximate near neighbor search data structure that the data structure fails on. Crucially, our adaptive algorithm finds the hard query exponentially faster than random sampling.","Thu, 15 Feb 2024 04:58:35 UTC (3,735 KB)"
"99","Robust Learning-Augmented Dictionaries","Ali Zeynali, Shahin Kamali, Mohammad Hajiesmaili","Data Structures and Algorithms (cs.DS)","We present the first learningaugmented data structure for implementing dictionaries with optimal consistency and robustness. Our data structure, named RobustSL, is a skip list augmented by predictions of access frequencies of elements in a data sequence. With proper predictions, RobustSL has optimal consistency achieves static optimality. At the same time, it maintains a logarithmic running time for each operation, ensuring optimal robustness, even if predictions are generated adversarially. Therefore, RobustSL has all the advantages of the recent learningaugmented data structures of Lin, Luo, and Woodruff ICML 2022 and Cao et al. arXiv 2023, while providing robustness guarantees that are absent in the previous work. Numerical experiments show that RobustSL outperforms alternative data structures using both synthetic and real datasets.","Thu, 15 Feb 2024 03:45:44 UTC (13,166 KB)"
"100","HyperMagNet: A Magnetic Laplacian based Hypergraph Neural Network","Tatyana Benko, Martin Buck, Ilya Amburg, Stephen J. Young, Sinan G. Aksoy","Machine Learning (cs.LG)","In data science, hypergraphs are natural models for data exhibiting multiway relations, whereas graphs only capture pairwise. Nonetheless, many proposed hypergraph neural networks effectively reduce hypergraphs to undirected graphs via symmetrized matrix representations, potentially losing important information. We propose an alternative approach to hypergraph neural networks in which the hypergraph is represented as a nonreversible Markov chain. We use this Markov chain to construct a complex Hermitian Laplacian matrix  the magnetic Laplacian  which serves as the input to our proposed hypergraph neural network. We study HyperMagNet for the task of node classification, and demonstrate its effectiveness over graphreduction based hypergraph neural networks.","Thu, 15 Feb 2024 03:05:45 UTC (300 KB)"
"101","Unbalanced Random Matching Markets with Partial Preferences","Aditya Potukuchi, Shikha Singh","Computer Science and Game Theory (cs.GT)","Properties of stable matchings in the popular randommatchingmarket model have been studied for over 50 years. In a random matching market, each agent has complete preferences drawn uniformly and independently at random. Wilson 1972, Knuth 1976 and Pittel 1989 proved that in balanced random matching markets, the proposers are matched to their ln nth choice on average. In this paper, we consider markets where agents have partial truncated preferences, that is, the proposers only rank their top d partners. Despite the long history of the problem, the following fundamental question remained unanswered emphwhat is the smallest value of d that results in a perfect stable matching with high probability? In this paper, we answer this question exactly  we prove that a degree of ln2 n is necessary and sufficient. That is, we show that if d  1epsilon ln2 n then no stable matching is perfect and if d  1 epsilon ln2 n, then every stable matching is perfect with high probability. This settles a recent conjecture by Kanoria, Min and Qian 2021. We generalize this threshold for unbalanced markets we consider a matching market with n agents on the shorter side and nalpha1 agents on the longer side. We show that for markets with alpha o1, the sharp threshold characterizing the existence of perfect stable matching occurs when d is ln n cdot ln leftfrac1  alphaalpha  1nalpha1 right. Finally, we extend the line of work studying the effect of imbalance on the expected rank of the proposers termed the stark effect of competition. We establish the regime in unbalanced markets that forces this stark effect to take shape in markets with partial preferences.","Thu, 15 Feb 2024 02:27:51 UTC (47 KB)"
"102","Fixed-sparsity matrix approximation from matrix-vector products","Noah Amsel, Tyler Chen, Feyza Duman Keles, Diana Halikias, Cameron Musco, Christopher Musco","Data Structures and Algorithms (cs.DS)","We study the problem of approximating a matrix mathbfA with a matrix that has a fixed sparsity pattern e.g., diagonal, banded, etc., when mathbfA is accessed only by matrixvector products. We describe a simple randomized algorithm that returns an approximation with the given sparsity pattern with Frobeniusnorm error at most 1varepsilon times the best possible error. When each row of the desired sparsity pattern has at most s nonzero entries, this algorithm requires Osvarepsilon nonadaptive matrixvector products with mathbfA. We also prove a matching lowerbound, showing that, for any sparsity pattern with Thetas nonzeros per row and column, any algorithm achieving 1epsilon approximation requires Omegasvarepsilon matrixvector products in the worst case. We thus resolve the matrixvector product query complexity of the problem up to constant factors, even for the wellstudied case of diagonal approximation, for which no previous lower bounds were known.","Wed, 14 Feb 2024 18:25:13 UTC (605 KB)[v2] Thu, 15 Feb 2024 17:18:05 UTC (605 KB)"
"103","A Modern Approach to Electoral Delimitation using the Quadtree Data Structure","Sahil Kale, Gautam Khaire, Jay Patankar, Pujashree Vidap","Data Structures and Algorithms (cs.DS)","The boundaries of electoral constituencies for assembly and parliamentary seats are drafted using a process referred to as delimitation, which ensures fair and equal representation of all citizens. The current delimitation exercise suffers from a number of drawbacks viz. inefficiency, gerrymandering and an uneven seattopopulation ratio, owing to existing legal and constitutional dictates. The existing methods allocate seats to every state but remain silent about their actual shape and location within the state. The main purpose of this research is to study and analyse the performance of existing delimitation algorithms and further propose a potential solution, along with its merits, that involves using a computational model based on the quadtree data structure to automate the districting process by optimizing objective population criteria. The paper presents an approach to electoral delimitation using the quadtree data structure, which is used to partition a twodimensional geographical space by recursively subdividing it into four quadrants or regions on the basis of population as a parameter value associated with the node. The quadtree makes use of a quadrant schema of the geographical space for representing constituencies, which not only keeps count of the allocated constituencies but also holds their locationspecific information. The performance of the proposed algorithm is analysed and evaluated against existing techniques and proves to be an efficient solution in terms of algorithmic complexity and boundary visualisation to the process of political districting.","Wed, 14 Feb 2024 17:32:57 UTC (484 KB)[v2] Fri, 16 Feb 2024 14:24:53 UTC (484 KB)"
"104","Efficient Unitary T-designs from Random Sums","Chi-Fang Chen, Jordan Docter, Michelle Xu, Adam Bouland, Patrick Hayden","Quantum Physics (quant-ph)","Unitary Tdesigns play an important role in quantum information, with diverse applications in quantum algorithms, benchmarking, tomography, and communication. Until now, the most efficient construction of unitary Tdesigns for nqudit systems has been via random local quantum circuits, which have been shown to converge to approximate Tdesigns in the diamond norm using OT5o1 n2 quantum gates. In this work, we provide a new construction of Tdesigns via random matrix theory using tildeOT2 n2 quantum gates. Our construction leverages two key ideas. First, in the spirit of central limit theorems, we approximate the Gaussian Unitary Ensemble GUE by an i.i.d. sum of random Hermitian matrices. Second, we show that the product of just two exponentiated GUE matrices is already approximately Haar random. Thus, multiplying two exponentiated sums over rather simple random matrices yields a unitary Tdesign, via Hamiltonian simulation. A central feature of our proof is a new connection between the polynomial method in quantum query complexity and the largedimension N expansion in random matrix theory. In particular, we show that the polynomial method provides exponentially improved bounds on the high moments of certain random matrix ensembles, without requiring intricate Weingarten calculations. In doing so, we define and solve a new type of moment problem on the unit circle, asking whether a finite number of equally weighted points, corresponding to eigenvalues of unitary matrices, can reproduce a given set of moments.","Wed, 14 Feb 2024 17:32:30 UTC (232 KB)"
"105","Iterated Straight-Line Programs","Gonzalo Navarro, Cristian Urbina","Data Structures and Algorithms (cs.DS)","We explore an extension to straightline programs SLPs that outperforms, for some text families, the measure delta based on substring complexity, a lower bound for most measures and compressors exploiting repetitiveness which are crucial in areas like Bioinformatics. The extension, called iterated SLPs ISLPs, allows rules of the form A rightarrow Piik1k2 B1ic1cdots Btict, for which we show how to extract any substring of length lambda, from the represented text T1.. n, in time Olambda  log2 nloglog n. This is the first compressed representation for repetitive texts breaking delta while, at the same time, supporting direct access to arbitrary text symbols in polylogarithmic time. As a byproduct, we extend Ganardi et al.s technique to balance any SLP so it has a derivation tree of logarithmic height to a wide generalization of SLPs, including ISLPs.","Wed, 14 Feb 2024 15:21:37 UTC (43 KB)[v2] Thu, 15 Feb 2024 09:21:39 UTC (39 KB)"
